# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:08:35 PM
# T_surf (K), OLR (W/m^2)
544.6658, 293.3083
546.2725, 293.3078
547.8792, 293.6703
549.4859, 293.6698
551.0925, 293.6694
552.6992, 293.6689
554.3059, 293.6684
555.9125, 293.668
557.5192, 293.6675
559.126, 293.667
560.7326, 293.6665
562.3393, 293.6661
563.946, 293.6656
565.5527, 293.6652
567.1594, 293.6646
568.7661, 293.6642
570.3728, 293.6638
571.9794, 293.6633
573.5861, 293.6627
575.1928, 293.6623
576.7995, 293.6619
578.4062, 293.6614
580.0129, 293.661
581.6195, 293.6604
583.2262, 293.66
584.8329, 293.6596
586.4396, 293.6591
588.0463, 293.6585
589.653, 293.6582
591.2596, 293.6577
592.8662, 293.6572
594.4729, 293.6568
596.0796, 293.6562
597.6864, 293.6558
599.2931, 293.6554
600.8997, 293.6549
602.5064, 293.6543
604.1131, 293.654
605.7198, 294.0165
607.3265, 294.016
608.9332, 294.0156
610.5398, 294.0151
612.1465, 294.0146
613.7532, 294.0142
615.3599, 294.0137
616.9666, 294.0132
618.5733, 294.0128
620.1799, 294.0123
621.7866, 294.0118
623.3933, 294.0114
625.0, 294.0109
626.6067, 294.0104
628.2134, 294.01
629.8201, 294.0095
631.4267, 294.009
633.0334, 294.0086
634.6401, 294.0081
636.2468, 294.0076
637.8535, 294.0072
639.4602, 294.0067
641.0668, 294.0062
642.6735, 294.0058
644.2802, 294.0053
645.8869, 294.0048
647.4936, 294.0044
649.1003, 294.0039
650.7069, 294.0034
652.3136, 294.003
653.9203, 294.0025
655.527, 294.002
657.1337, 294.0016
658.7404, 294.0011
660.347, 294.0006
661.9537, 294.0002
663.5604, 293.9997
665.1671, 293.9992
666.7738, 293.9988
668.3805, 293.9983
669.987, 293.9978
671.5937, 293.9973
673.2005, 293.9969
674.8072, 293.9964
676.4139, 293.996
678.0206, 293.9955
679.6272, 293.995
681.2339, 293.9946
682.8406, 293.9941
684.4473, 293.9936
686.054, 293.9931
687.6606, 293.9927
689.2674, 293.9922
690.874, 293.9918
692.4807, 293.9912
694.0874, 293.9908
695.6941, 293.9904
697.3008, 293.9899
698.9075, 293.9893
700.5141, 293.9889
702.1208, 293.9885
703.7275, 293.988
705.3342, 293.9876
706.9409, 293.987
708.5476, 293.9866
710.1542, 293.9862
711.7609, 293.9857
713.3676, 293.9851
714.9743, 293.9848
716.581, 293.9843
718.1877, 293.9838
719.7943, 293.9834
721.401, 293.9828
723.0077, 293.9824
724.6143, 293.982
726.2211, 293.9815
727.8277, 293.9809
729.4344, 293.9806
731.0411, 293.9801
732.6478, 293.9796
734.2545, 293.9792
735.8612, 293.9787
737.4679, 293.9782
739.0746, 293.9778
740.6812, 293.9773
742.2879, 293.9768
743.8946, 293.9764
745.5013, 293.9759
747.108, 293.9754
748.7147, 293.975
750.3213, 293.9745
751.928, 293.974
753.5347, 293.9736
755.1414, 293.9731
756.7481, 293.9726
758.3548, 293.9722
759.9614, 293.9717
761.5681, 293.9712
763.1748, 293.9708
764.7814, 293.9703
766.3881, 293.9698
767.9949, 293.9694
769.6015, 293.9689
771.2082, 293.9684
772.8149, 293.968
774.4216, 293.9675
776.0283, 293.967
777.635, 293.9666
779.2416, 293.9661
780.8483, 293.9656
782.455, 293.9651
784.0617, 293.9647
785.6684, 293.9642
787.2751, 293.9638
788.8817, 293.9633
790.4884, 293.9628
792.0951, 293.9624
793.7018, 293.9619
795.3085, 293.9614
796.9152, 293.9609
798.5219, 293.9605
800.1285, 293.96
801.7351, 293.9596
803.3418, 293.959
804.9485, 293.9586
806.5553, 293.9582
808.162, 293.9577
809.7686, 293.9572
811.3753, 293.9567
812.982, 293.9563
814.5887, 293.9558
816.1954, 293.9554
817.8021, 293.9548
819.4087, 293.9544
821.0154, 293.954
822.6221, 293.9535
824.2288, 293.9529
825.8355, 293.9526
827.4422, 293.9521
829.0488, 293.9516
830.6555, 293.9512
832.2622, 293.9506
833.8689, 293.9502
835.4756, 293.9498
837.0823, 293.9493
838.6888, 293.9487
840.2955, 293.9484
841.9022, 293.9479
843.509, 293.9474
845.1157, 293.947
846.7224, 293.9465
848.329, 293.946
849.9357, 293.9456
851.5424, 293.9451
853.1491, 293.9445
854.7558, 293.9442
856.3625, 293.9437
857.9691, 293.9432
859.5758, 293.9428
861.1825, 293.9423
862.7892, 293.9418
864.3959, 293.9414
866.0026, 293.9409
867.6093, 293.9404
869.2159, 293.94
870.8226, 293.9395
872.4293, 293.939
874.036, 293.9386
875.6427, 293.9381
877.2494, 293.9376
878.8559, 293.9372
880.4627, 293.9367
882.0694, 293.9362
883.6761, 293.9358
885.2828, 293.9353
886.8895, 293.9348
888.4961, 293.9344
890.1028, 293.9339
891.7095, 293.9334
893.3162, 293.933
894.9229, 293.9325
896.5295, 293.932
898.1362, 293.9316
899.7429, 293.9311
901.3496, 293.9306
902.9563, 293.9302
904.563, 293.9297
906.1697, 293.9292
907.7763, 293.9287
909.383, 293.9283
910.9897, 293.9278
912.5964, 293.9274
914.2031, 293.9268
915.8098, 293.9264
917.4165, 293.926
919.0231, 293.9255
920.6298, 293.925
922.2365, 293.9245
923.8432, 293.9241
925.4499, 293.9236
927.0566, 293.9232
928.6632, 293.9226
930.2699, 293.9222
931.8766, 293.9218
933.4833, 293.9213
935.09, 293.9207
936.6966, 293.9203
938.3033, 293.9199
939.91, 293.9194
941.5167, 293.919
943.1234, 293.9184
944.7301, 293.918
946.3368, 293.9176
947.9434, 293.9171
949.5501, 293.9165
951.1568, 293.9162
952.7635, 293.9157
954.3702, 293.9152
955.9769, 293.9148
957.5835, 293.9143
959.1902, 293.9138
960.7969, 293.9134
962.4036, 293.9129
964.0103, 293.9123
965.617, 293.912
967.2237, 293.9115
968.8303, 293.911
970.437, 293.9106
972.0437, 293.9101
973.6503, 293.9096
975.257, 293.9092
976.8638, 293.9087
978.4704, 293.9082
980.0771, 293.9078
981.6838, 293.9073
983.2905, 293.9068
984.8972, 293.9064
986.5039, 293.9059
988.1105, 293.9054
989.7172, 293.905
991.3239, 293.9045
992.9306, 293.904
994.5373, 293.9036
996.144, 293.9031
997.7506, 293.9026
999.3573, 293.9022
1000.964, 293.9017
1002.5707, 293.9012
1004.1774, 293.9008
1005.7841, 293.9003
1007.3907, 293.8999
1008.9973, 293.8994
1010.604, 293.8989
1012.2107, 293.8984
1013.8175, 293.898
1015.4242, 293.8975
1017.0308, 293.8971
1018.6375, 293.8965
1020.2442, 293.8961
1021.8509, 293.8957
1023.4576, 293.8952
1025.0643, 293.8947
1026.671, 293.8942
1028.2776, 293.8938
1029.8843, 293.8933
1031.491, 293.8929
1033.0977, 293.8923
1034.7044, 293.8919
1036.3111, 293.8915
1037.9177, 293.891
1039.5244, 293.8904
1041.1311, 293.8901
1042.7378, 293.8896
1044.3445, 293.8891
1045.9512, 293.8887
1047.5577, 293.8881
1049.1645, 293.8877
1050.7711, 293.8873
1052.3779, 293.8868
1053.9846, 293.8862
1055.5913, 293.8859
1057.1979, 293.8854
1058.8046, 293.8849
1060.4113, 293.8845
1062.018, 293.884
1063.6247, 293.8835
1065.2314, 293.8831
1066.838, 293.8826
1068.4447, 293.882
1070.0514, 293.8817
1071.6581, 293.8812
1073.2648, 293.8807
1074.8715, 293.8803
1076.4781, 293.8798
1078.0848, 293.8793
1079.6915, 293.8789
1081.2982, 293.8784
1082.9049, 293.8779
1084.5116, 293.8775
1086.1183, 293.877
1087.7248, 293.8765
1089.3316, 293.8761
1090.9383, 293.8756
1092.545, 293.8751
1094.1517, 293.8747
1095.7584, 293.8742
1097.365, 293.8737
1098.9717, 293.8733
1100.5784, 293.8728
1102.1851, 293.8723
1103.7917, 293.8719
1105.3985, 293.8714
1107.0051, 293.8709
1108.6118, 293.8705
1110.2185, 293.87
1111.8252, 293.8695
1113.4319, 293.8691
1115.0386, 293.8686
1116.6452, 293.8681
1118.2519, 293.8677
1119.8586, 293.8672
1121.4653, 293.8667
1123.072, 293.8662
1124.6787, 293.8658
1126.2852, 293.8653
1127.892, 293.8649
1129.4987, 293.8643
1131.1054, 293.8639
1132.7121, 293.8635
1134.3188, 293.863
1135.9254, 293.8625
1137.5321, 293.862
1139.1388, 293.8616
1140.7455, 293.8611
1142.3522, 293.8607
1143.9588, 293.8601
1145.5655, 293.8597
1147.1722, 293.8593
1148.7789, 293.8588
1150.3856, 293.8582
1151.9923, 293.8578
1153.599, 293.8574
1155.2057, 293.8569
1156.8123, 293.8565
1158.419, 293.8559
1160.0257, 293.8555
1161.6324, 293.8551
1163.2391, 293.8546
1164.8458, 293.854
