# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:19:10 PM
# T_surf (K), OLR (W/m^2)
2006.7481, 304.136
2008.3548, 304.4985
2009.9614, 304.861
2011.5681, 305.2235
2011.5681, 305.5865
2013.1748, 305.9489
2014.7814, 306.3115
2014.7814, 306.6745
2016.3881, 307.037
2016.3881, 307.4
2017.9949, 307.7625
2017.9949, 308.1254
2019.6015, 308.125
2019.6015, 308.488
2021.2082, 308.8505
2021.2082, 309.2134
2022.8149, 309.576
2022.8149, 309.9388
2024.4216, 310.3014
2026.0283, 310.6639
2026.0283, 311.0269
2027.635, 311.3894
2027.635, 311.7524
2029.2416, 312.1149
2029.2416, 312.4779
2030.8483, 312.4774
2030.8483, 312.8404
2032.455, 313.2029
2032.455, 313.5659
2034.0617, 313.9284
2035.6684, 314.2909
2035.6684, 314.6539
2037.2751, 314.6534
2037.2751, 315.0164
2038.8817, 315.3789
2038.8817, 315.7419
2040.4884, 316.1044
2040.4884, 316.4674
2042.0951, 316.8298
2043.7018, 317.1924
2043.7018, 317.5554
2045.3085, 317.9179
2045.3085, 318.2809
2046.9152, 318.6434
2046.9152, 319.0063
2048.5219, 319.0059
2048.5219, 319.3689
2050.1285, 319.7314
2050.1285, 320.0943
2051.7351, 320.4567
2051.7351, 320.8197
2051.7351, 321.1828
2051.7351, 321.5457
2051.7351, 321.9088
2053.3418, 322.2713
2054.9485, 322.6338
2054.9485, 322.9967
2056.5553, 323.3593
2056.5553, 323.7222
2058.162, 324.0847
2059.7686, 324.4473
2059.7686, 324.8102
2061.3753, 325.1727
2061.3753, 325.5356
2062.982, 325.8982
2062.982, 326.2612
2064.5887, 326.6237
2066.1954, 326.9862
2066.1954, 327.3492
2067.8021, 327.7117
2067.8021, 328.0747
2069.4087, 328.4372
2071.0154, 328.7997
2071.0154, 329.1627
2072.6221, 329.5252
2072.6221, 329.8881
2074.2288, 330.2507
2074.2288, 330.6137
2075.8355, 330.9762
2077.4422, 331.3387
2079.0488, 331.7012
2079.0488, 332.0642
2080.6555, 332.0637
2080.6555, 332.4267
2082.2622, 332.7892
2083.8689, 333.1517
2083.8689, 333.5147
2085.4756, 333.5142
2085.4756, 333.8772
2087.0823, 334.2397
2087.0823, 334.6027
2088.6888, 334.9651
2088.6888, 335.3281
2090.2955, 335.6907
2090.2955, 336.0536
2091.9022, 336.4161
2091.9022, 336.7791
2093.509, 337.1416
2093.509, 337.5046
2093.509, 337.8676
2095.1157, 338.2301
2095.1157, 338.5931
2096.7224, 338.9556
2096.7224, 339.3186
2096.7224, 339.6815
2098.329, 340.044
2099.9357, 340.4066
2099.9357, 340.7694
2099.9357, 341.1325
2101.5424, 341.495
2101.5424, 341.858
2103.1491, 342.2205
2103.1491, 342.5835
2103.1491, 342.9465
2104.7558, 343.309
2104.7558, 343.6719
2106.3625, 344.0345
2106.3625, 344.3974
2107.9691, 344.7599
2107.9691, 345.1229
2109.5758, 345.4854
2109.5758, 345.8484
2107.9691, 346.2118
2107.9691, 346.5748
2107.9691, 346.9378
2109.5758, 347.3003
2109.5758, 347.6633
2109.5758, 348.0263
2111.1825, 348.3888
2111.1825, 348.7517
2111.1825, 349.1147
2111.1825, 349.4777
2112.7892, 349.8401
2112.7892, 350.2032
2112.7892, 350.5662
2114.3959, 350.9287
2114.3959, 351.2916
2114.3959, 351.6545
2116.0026, 352.0171
2116.0026, 352.3801
2116.0026, 352.7431
2116.0026, 353.1061
2117.6093, 353.4686
2117.6093, 353.8315
2117.6093, 354.1945
2119.2159, 354.557
