# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:05:37 PM
# T_surf (K), OLR (W/m^2)
851.5424, 281.6038
853.1491, 281.6034
854.7558, 281.603
856.3625, 281.6025
857.9691, 281.6019
859.5758, 281.6016
861.1825, 281.6011
862.7892, 281.6006
864.3959, 281.6002
866.0026, 281.5997
867.6093, 281.5992
869.2159, 281.5988
870.8226, 281.5983
872.4293, 281.5977
874.036, 281.5974
875.6427, 281.5969
877.2494, 281.5964
878.8559, 281.596
880.4627, 281.5955
882.0694, 281.595
883.6761, 281.5946
885.2828, 281.5941
886.8895, 281.5936
888.4961, 281.5932
890.1028, 281.5927
891.7095, 281.5922
893.3162, 281.5918
894.9229, 281.5913
896.5295, 281.5908
898.1362, 281.5904
899.7429, 281.5899
901.3496, 281.5894
902.9563, 281.589
904.563, 281.5885
906.1697, 281.588
907.7763, 281.5876
909.383, 281.5871
910.9897, 281.5866
912.5964, 281.5862
914.2031, 281.5857
915.8098, 281.5852
917.4165, 281.5848
919.0231, 281.5843
920.6298, 281.5838
922.2365, 281.5834
923.8432, 281.5829
925.4499, 281.5824
927.0566, 281.5819
928.6632, 281.5815
930.2699, 281.581
931.8766, 281.5806
933.4833, 281.58
935.09, 281.5796
936.6966, 281.5792
938.3033, 281.5787
939.91, 281.5782
941.5167, 281.5777
943.1234, 281.5773
944.7301, 281.5768
946.3368, 281.5764
947.9434, 281.5758
949.5501, 281.5754
951.1568, 281.575
952.7635, 281.5745
954.3702, 281.5739
955.9769, 281.5735
957.5835, 281.5731
959.1902, 281.5726
960.7969, 281.5722
962.4036, 281.5716
964.0103, 281.5712
965.617, 281.5708
967.2237, 281.5703
968.8303, 281.5697
970.437, 281.5694
972.0437, 281.5689
973.6503, 281.5684
975.257, 281.205
976.8638, 281.2045
978.4704, 281.2041
980.0771, 281.2036
981.6838, 281.2031
983.2905, 281.2027
984.8972, 281.2022
986.5039, 281.2017
988.1105, 281.2013
989.7172, 281.2008
991.3239, 281.2003
992.9306, 281.1999
994.5373, 281.1994
996.144, 281.1989
997.7506, 281.1985
999.3573, 281.198
1000.964, 281.1975
1002.5707, 281.1971
1004.1774, 281.1966
1005.7841, 281.1961
1007.3907, 281.1957
1008.9973, 281.1952
1010.604, 281.1947
1012.2107, 281.1943
1013.8175, 281.1938
1015.4242, 281.1933
1017.0308, 281.1929
1018.6375, 281.1924
1020.2442, 281.1919
1021.8509, 281.1915
1023.4576, 281.191
1025.0643, 281.1905
1026.671, 281.1901
1028.2776, 281.1896
1029.8843, 281.1891
1031.491, 281.1887
1033.0977, 281.1882
1034.7044, 281.1877
1036.3111, 281.1873
1037.9177, 281.1868
1039.5244, 281.1863
1041.1311, 281.1859
1042.7378, 281.1854
1044.3445, 281.1849
1045.9512, 281.1844
1047.5577, 281.184
1049.1645, 281.1835
1050.7711, 281.1831
1052.3779, 281.1826
1053.9846, 281.1821
1055.5913, 281.1817
1057.1979, 281.1812
1058.8046, 281.1807
1060.4113, 281.1803
1062.018, 281.1798
1063.6247, 281.1793
1065.2314, 281.1789
1066.838, 281.1784
1068.4447, 281.1779
1070.0514, 281.1775
1071.6581, 281.177
1073.2648, 281.1764
1074.8715, 281.1761
1076.4781, 281.1756
1078.0848, 280.8122
1079.6915, 280.8117
1081.2982, 280.8112
1082.9049, 280.8108
1084.5116, 280.8103
1086.1183, 280.8098
1087.7248, 280.8094
1089.3316, 280.8089
1090.9383, 280.8084
1092.545, 280.808
1094.1517, 280.8075
1095.7584, 280.807
1097.365, 280.8066
1098.9717, 280.8061
1100.5784, 280.8056
1102.1851, 280.8052
1103.7917, 280.8047
1105.3985, 280.8042
1107.0051, 280.8037
1108.6118, 280.8033
1110.2185, 280.8028
1111.8252, 280.8024
1113.4319, 280.8018
1115.0386, 280.8014
