   Temperature           BIR            BW1               BW2             BUV             BVIS1             BVIS2
   91.0000000       1.18609881       6.85408804E-12   5.16649857E-02   0.00000000       0.00000000       0.00000000    
   92.0000000       1.23589838       1.01231332E-11   5.71760461E-02   0.00000000       0.00000000       0.00000000    
   93.0000000       1.28706753       1.48285152E-11   6.31507710E-02   0.00000000       0.00000000       0.00000000    
   94.0000000       1.33961844       2.15482302E-11   6.96172118E-02   0.00000000       0.00000000       0.00000000    
   95.0000000       1.39356244       3.10717563E-11   7.66043738E-02   0.00000000       0.00000000       0.00000000    
   96.0000000       1.44891071       4.44697473E-11   8.41422230E-02   0.00000000       0.00000000       0.00000000    
   97.0000000       1.50567341       6.31841870E-11   9.22616869E-02   0.00000000       0.00000000       0.00000000    
   98.0000000       1.56386077       8.91441920E-11  0.100994639       0.00000000       0.00000000       0.00000000    
   99.0000000       1.62348199       1.24913940E-10  0.110373907       0.00000000       0.00000000       0.00000000    
   100.000000       1.68454599       1.73880327E-10  0.120433271       0.00000000       0.00000000       0.00000000    
   101.000000       1.74706125       2.40489823E-10  0.131207436       0.00000000       0.00000000       0.00000000    
   102.000000       1.81103551       3.30545619E-10  0.142732054       0.00000000       0.00000000       0.00000000    
   103.000000       1.87647641       4.51578303E-10  0.155043706       0.00000000       0.00000000       0.00000000    
   104.000000       1.94339061       6.13306017E-10  0.168179885       0.00000000       0.00000000       0.00000000    
   105.000000       2.01178455       8.28202562E-10  0.182179004       0.00000000       0.00000000       0.00000000    
   106.000000       2.08166432       1.11219511E-09  0.197080374       0.00000000       0.00000000       0.00000000    
   107.000000       2.15303540       1.48551760E-09  0.212924197       0.00000000       0.00000000       0.00000000    
   108.000000       2.22590280       1.97374850E-09  0.229751572       0.00000000       0.00000000       0.00000000    
   109.000000       2.30027103       2.60906874E-09  0.247604460       0.00000000       0.00000000       0.00000000    
   110.000000       2.37614441       3.43177686E-09  0.266525716       0.00000000       0.00000000       0.00000000    
   111.000000       2.45352674       4.49211068E-09  0.286558986       0.00000000       0.00000000       0.00000000    
   112.000000       2.53242111       5.85242255E-09  0.307748824       0.00000000       0.00000000       0.00000000    
   113.000000       2.61283064       7.58977148E-09  0.330140591       0.00000000       0.00000000       0.00000000    
   114.000000       2.69475770       9.79899717E-09  0.353780419       0.00000000       0.00000000       0.00000000    
   115.000000       2.77820492       1.25963489E-08  0.378715307       0.00000000       0.00000000       0.00000000    
   116.000000       2.86317372       1.61237654E-08  0.404993027       0.00000000       0.00000000       0.00000000    
   117.000000       2.94966555       2.05538839E-08  0.432662100       0.00000000       0.00000000       0.00000000    
   118.000000       3.03768206       2.60958952E-08  0.461771846       0.00000000       0.00000000       0.00000000    
   119.000000       3.12722349       3.30023759E-08  0.492372334       0.00000000       0.00000000       0.00000000    
