   Temperature           BIR            BW1               BW2             BSW
   141.000000       5.48158693       2.53125813E-06   1.65242696       0.00000000    
   142.000000       5.60593891       2.98849659E-06   1.73262107       0.00000000    
   143.000000       5.73178196       3.52035090E-06   1.81569195       0.00000000    
   144.000000       5.85911322       4.13767430E-06   1.90170312       0.00000000    
   145.000000       5.98793125       4.85270084E-06   1.99071872       0.00000000    
   146.000000       6.11823416       5.67919506E-06   2.08280325       0.00000000    
   147.000000       6.25002050       6.63261471E-06   2.17802095       0.00000000    
   148.000000       6.38328886       7.73028751E-06   2.27643704       0.00000000    
   149.000000       6.51803732       8.99160204E-06   2.37811661       0.00000000    
   150.000000       6.65426588       1.04382152E-05   2.48312521       0.00000000    
   151.000000       6.79197264       1.20942768E-05   2.59152818       0.00000000    
   152.000000       6.93115711       1.39866715E-05   2.70339179       1.40129846E-45
   153.000000       7.07181931       1.61452790E-05   2.81878161       2.80259693E-45
   154.000000       7.21395874       1.86032539E-05   2.93776441       4.20389539E-45
   155.000000       7.35757494       2.13973253E-05   3.06040621       9.80908925E-45
   156.000000       7.50266886       2.45681240E-05   3.18677378       2.24207754E-44
   157.000000       7.64924097       2.81605262E-05   3.31693363       4.62428493E-44
   158.000000       7.79729223       3.22240194E-05   3.45095277       9.66895940E-44
   159.000000       7.94682407       3.68131077E-05   3.58889794       1.98984382E-43
   160.000000       8.09783745       4.19877251E-05   3.73083615       4.04975256E-43
   161.000000       8.25033569       4.78136863E-05   3.87683439       8.19759602E-43
   162.000000       8.40431976       5.43631613E-05   4.02695990       1.64372310E-42
   163.000000       8.55979252       6.17152036E-05   4.18127966       3.26782802E-42
   164.000000       8.71675873       6.99562588E-05   4.33986092       6.44457164E-42
   165.000000       8.87521935       7.91807543E-05   4.50277090       1.26046797E-41
   166.000000       9.03518105       8.94917175E-05   4.67007637       2.44554608E-41
   167.000000       9.19664574       1.01001380E-04   4.84184504       4.70780232E-41
   168.000000       9.35962009       1.13831898E-04   5.01814365       8.99255264E-41
   169.000000       9.52410984       1.28116037E-04   5.19903946       1.70463754E-40
   170.000000       9.69011974       1.43997924E-04   5.38459921       3.20726390E-40
   171.000000       9.85765553       1.61633870E-04   5.57488966       5.99018660E-40
   172.000000       10.0267258       1.81193158E-04   5.76997805       1.11072942E-39
   173.000000       10.1973372       2.02858981E-04   5.96993017       2.04498912E-39
   174.000000       10.3694983       2.26829288E-04   6.17481375       3.73888431E-39
   175.000000       10.5432167       2.53317819E-04   6.38469458       6.78911590E-39
   176.000000       10.7185020       2.82555091E-04   6.59963846       1.22449075E-38
   177.000000       10.8953638       3.14789417E-04   6.81971216       2.19390721E-38
   178.000000       11.0738125       3.50288086E-04   7.04498148       3.90526019E-38
   179.000000       11.2538586       3.89338471E-04   7.27551174       6.90713578E-38
   180.000000       11.4355145       4.32249217E-04   7.51136923       1.21397210E-37
   181.000000       11.6187916       4.79351584E-04   7.75261831       2.12044663E-37
   182.000000       11.8037024       5.31000667E-04   7.99932432       3.68127474E-37
   183.000000       11.9902639       5.87576826E-04   8.25154972       6.35279309E-37
   184.000000       12.1784849       6.49487076E-04   8.50936413       1.08985605E-36
   185.000000       12.3683720       7.17166520E-04   8.77283955       1.85888730E-36
   186.000000       12.5599594       7.91080005E-04   9.04201984       3.15251385E-36
   187.000000       12.7532558       8.71723576E-04   9.31697845       5.31643687E-36
   188.000000       12.9482765       9.59626283E-04   9.59777927       8.91626527E-36
   189.000000       13.1450396       1.05535169E-03   9.88448524       1.48724314E-35
   190.000000       13.3435640       1.15949975E-03   10.1771593       2.46748719E-35
   191.000000       13.5438671       1.27270876E-03   10.4758635       4.07228580E-35
   192.000000       13.7459698       1.39565684E-03   10.7806606       6.68602016E-35
   193.000000       13.9498920       1.52906450E-03   11.0916109       1.09213975E-34
   194.000000       14.1556549       1.67369621E-03   11.4087782       1.77502345E-34
   195.000000       14.3632812       1.83036237E-03   11.7322216       2.87064078E-34
   196.000000       14.5727930       1.99992210E-03   12.0620022       4.61993019E-34
   197.000000       14.7842140       2.18328438E-03   12.3981800       7.39955970E-34
   198.000000       14.9975681       2.38141185E-03   12.7408152       1.17956496E-33
   199.000000       15.2128811       2.59532128E-03   13.0899687       1.87160539E-33
   200.000000       15.4301786       2.82608741E-03   13.4456968       2.95606138E-33
   201.000000       15.6494865       3.07484507E-03   13.8080606       4.64781687E-33
   202.000000       15.8708334       3.34279146E-03   14.1771164       7.27528662E-33
   203.000000       16.0942459       3.63118853E-03   14.5529232       1.13382300E-32
   204.000000       16.3197556       3.94136645E-03   14.9355383       1.75939134E-32
   205.000000       16.5473900       4.27472498E-03   15.3250170       2.71849878E-32
   206.000000       16.7771816       4.63273888E-03   15.7214184       4.18284883E-32
   207.000000       17.0091610       5.01695694E-03   16.1247959       6.40940881E-32
   208.000000       17.2433605       5.42900804E-03   16.5352058       9.78120503E-32
   209.000000       17.4798145       5.87060302E-03   16.9527035       1.48669132E-31
   210.000000       17.7185555       6.34353701E-03   17.3773441       2.25075430E-31
